1,4.142,12.937
1,2.606,11.03
1,0.994,13.994
1,7.66,13.561
1,6.185,13.209
1,12.4,15.38
1,10.02,15.724
1,9.72,17.535
1,7.975,19.312
1,7.014,16.203
1,6.632,12.578
1,9.895,16.227
1,12.53,13.539
1,10.598,15.369
1,12.223,16.282
1,15.16,18.395
1,14.286,17.701
3,13.422,15.592
3,16.396,17.918
3,16.996,17.001
3,12.864,18.045
3,15.156,17.218
3,14.368,18.369
3,15.864,18.64
3,16.093,19.873
3,15.215,19.011
3,15.663,24.93
3,15.528,19.192
3,11.271,25.621
3,10.583,23.282
3,14.585,20.676
3,7.23,16.884
3,7.423,15.185
3,7.613,25.948
3,7.334,26.969
3,6.677,27.845
3,5.022,27.318
3,15.848,22.026
3,13.484,17.128
3,10.099,17.77
3,12.777,14.651
3,12.862,14.809
3,7.191,11.534
3,5.034,11.39
3,6.018,10.049
3,9.03,11.184
3,5.062,12.956
3,1.82,16.385
3,2.104,18.382
3,2.004,15.4
15,1.308,3.883
15,4.453,7.334
15,1.117,3.811
15,2.751,6.495
15,1.124,7.664
15,3.085,8.666
15,2.153,7.432
15,3.676,14.033
15,2.398,10.079
15,2.287,10.735
15,1.035,12.792
15,3,10
17,7.006,19.235
17,10.891,22.097
17,10.579,23.502
17,7.22,21.439
17,8.945,21.034
17,5.694,19.205
17,6.374,19.654
17,2.18,19.734
17,1.177,18.118
17,3.674,30.402
17,5.2,26.832
17,4.399,29.743
17,4.731,28.872
17,4.643,29.073
17,0.937,29.947
17,1,30
18,11.971,3.149
18,11.462,6.033
18,11.567,1.387
18,16.733,2.035
18,17.067,1.917
18,16.757,3.422
18,14.056,9
18,12.732,7.502
18,8.657,4.649
18,15.784,5.212
18,14.106,1.423
18,11.84,2.647
18,20.602,1.921
18,19.689,1.067
18,22.6,3.003
34,27.156,14.69
34,26.708,9.379
34,29.94,13.374
34,29.901,14.749
34,27.226,13.212
34,18.625,18.152
34,21.698,17.743
34,20.633,13.329
34,18.195,11.545
34,19.109,14.717
34,18.143,10.349
34,28.081,7.773
34,30.1,8.943
34,29.015,6.449
34,26.876,4.547
57,10.094,4.109
57,9.427,6.158
57,8.987,5.692
57,7.179,4.017
57,9.553,4.89
57,9.104,1.788
57,7.385,4.246
57,12.979,7.639
57,15.301,11.405
57,11.922,17.067
57,8.494,13.74
57,8.883,14.21
70,22.187,19.728
70,19.436,23.309
70,15.347,21.453
70,27.538,18.813
70,25.789,19.988
70,25.266,22.294
70,24.986,19.341
70,27.673,21.549
70,28.423,17.827
70,23.961,17.052
70,24.119,16.319
70,26.218,20.271
70,14.646,25.277
70,19.015,22.527
70,17.249,26.307
80,6.329,19.428
80,7.341,14.935
80,6.995,15.687
80,9.554,21.024
80,6.963,16.055
80,10.375,10.729
80,9.02,10.991
80,3.864,9.115
80,2.84,5.244
80,10.925,3.355
80,11.188,5.572
80,10.922,7.196
80,11.342,1.383